trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
trip_000011,taxi_5371,2021-06-05T21:00:00,2021-06-05T21:07:36.182681,456,0.5,44,15,7.04,1.26,0.0,5,13.3,Mobile,Blue Ribbon,41.6448946526068,-88.04740374711862,41.98325523678595,-87.47425546489127
trip_000012,taxi_2743,2021-06-22T08:00:00,2021-06-22T08:53:00.507465,3180,6.9,39,65,37.43,3.08,0.0,0,40.51,Credit Card,Flash Cab,41.64170356112978,-87.43999135993988,41.87362741807178,-87.42709881709555
trip_000013,taxi_6310,2021-06-23T15:00:00,2021-06-23T15:12:28.255898,748,6.8,63,3,22.92,6.31,0.0,0,29.23,Credit Card,City Service,42.07723312669391,-87.38466757651106,41.7345084752416,-88.00365986680465
trip_000014,taxi_8962,2021-06-25T04:00:00,2021-06-25T04:09:05.266319,545,2.4,9,69,11.8,2.29,0.0,0,14.09,Cash,Flash Cab,41.94585049364842,-87.29252105623601,41.64907617538448,-87.6278609700654
trip_000015,taxi_9835,2021-06-26T21:00:00,2021-06-26T21:06:51.186551,411,0.5,26,40,6.77,0.36,0.0,1,8.13,Credit Card,City Service,41.812860050348704,-87.63593932717153,41.62260251752096,-87.87024213037476
trip_000016,taxi_4770,2021-06-15T10:00:00,2021-06-15T10:11:19.872532,679,0.5,76,29,8.34,2.21,0.0,0,10.55,Credit Card,Yellow Cab,41.974704567929074,-88.00290098649894,41.59044019686618,-88.02486963355759
trip_000017,taxi_4899,2021-06-15T02:00:00,2021-06-15T02:11:35.763408,695,0.5,36,63,8.43,1.61,0.0,0,10.04,Cash,Chicago Taxi,41.62938710923502,-87.30158860753546,41.89262585599517,-87.67186317895057
trip_000018,taxi_2545,2021-06-21T04:00:00,2021-06-21T04:37:24.580315,2244,2.4,13,56,21.71,4.97,0.0,1,27.68,Mobile,Blue Ribbon,41.796661365629845,-87.35893060130432,41.582502712339306,-87.52723560938738
trip_000019,taxi_7596,2021-06-28T13:00:00,2021-06-28T13:05:06.644904,306,1.7,44,14,8.81,2.21,0.0,0,11.02,Cash,Flash Cab,41.66412534506449,-87.6911091617335,41.80312898390064,-87.82716388426645
trip_000020,taxi_2604,2021-06-11T15:00:00,2021-06-11T15:31:06.795491,1866,1.4,7,70,17.36,2.7,0.0,0,20.06,Credit Card,Yellow Cab,42.10582018980488,-87.37104341246857,41.64978666636235,-87.66148709963943
trip_000021,taxi_3697,2021-06-10T02:00:00,2021-06-10T02:44:46.235486,2686,1.5,49,1,22.21,5.95,0.0,1,29.16,Credit Card,City Service,42.1059108441356,-87.42189651456471,41.721149537368156,-87.49272679711987
trip_000022,taxi_8973,2021-06-24T17:00:00,2021-06-24T17:06:18.801679,378,0.5,20,25,6.58,0.55,6.5,5,18.63,Mobile,Flash Cab,42.131225618981496,-87.586655767347,41.87531712082457,-87.45161955169675
trip_000023,taxi_8811,2021-06-03T10:00:00,2021-06-03T10:31:09.450941,1869,4.8,65,68,24.92,5.08,0.0,0,30.0,Cash,Yellow Cab,42.12646734196467,-87.98591082780753,41.661494976588436,-87.57397191483999
trip_000024,taxi_2964,2021-06-29T19:00:00,2021-06-29T19:17:46.879360,1066,2.5,73,32,15.1,1.94,0.0,0,17.04,Credit Card,Chicago Taxi,41.57384499737344,-87.98441327560411,41.94442389868352,-87.59781846092473
trip_000025,taxi_6147,2021-06-14T11:00:00,2021-06-14T11:33:36.471304,2016,6.4,31,34,29.3,6.07,0.0,0,35.37,Credit Card,Flash Cab,41.95301413377599,-87.81000233616099,41.739706317763115,-87.44850840606848
trip_000026,taxi_2638,2021-06-04T02:00:00,2021-06-04T02:18:36.977678,1116,0.5,10,69,10.89,2.68,0.0,0,13.57,Cash,Chicago Taxi,41.70912024885024,-87.30339249760503,42.078518504211864,-87.34658380601238
trip_000027,taxi_8179,2021-06-16T18:00:00,2021-06-16T18:05:30.897329,330,0.5,70,39,6.31,1.66,0.0,0,7.97,Credit Card,Chicago Taxi,41.554693864291295,-87.39631669190764,41.72962725131999,-87.51928902802715
trip_000028,taxi_2753,2021-06-06T17:00:00,2021-06-06T17:19:12.524613,1152,1.5,71,20,13.31,2.78,0.0,0,16.09,Mobile,City Service,41.912897896218134,-87.47591025028896,41.67215838739647,-87.54260963289194
trip_000029,taxi_5114,2021-06-12T06:00:00,2021-06-12T06:15:33.938370,933,0.5,7,12,9.82,2.35,0.0,2,14.17,Credit Card,City Service,41.57645205707943,-87.78315476911594,41.628491796421024,-87.26616163693694
trip_000030,taxi_8007,2021-06-07T21:00:00,2021-06-07T21:06:36.125134,396,0.5,72,2,6.69,0.94,0.0,5,12.63,Credit Card,Yellow Cab,42.11703056342798,-87.4971843009953,41.63943257128712,-88.02117748955133
trip_000031,taxi_3426,2021-06-16T18:00:00,2021-06-16T18:58:05.940103,3485,6.8,56,17,38.91,10.61,0.0,2,51.52,Credit Card,City Service,41.768790909196355,-87.30352959158348,42.13331775901036,-88.01808409751104
trip_000032,taxi_5088,2021-06-16T06:00:00,2021-06-16T06:46:01.823677,2761,3.5,14,46,27.33,6.04,6.5,0,39.87,Credit Card,Blue Ribbon,42.13430221358237,-87.45041791108517,42.10545829354174,-87.86061013421651
trip_000033,taxi_1406,2021-06-07T22:00:00,2021-06-07T22:49:36.976086,2976,7.7,23,43,37.95,7.36,0.0,0,45.31,Credit Card,Flash Cab,41.710083425756686,-87.42010039269162,41.61485737584177,-87.35226657367514
trip_000034,taxi_8541,2021-06-21T01:00:00,2021-06-21T01:50:17.091179,3017,3.6,45,40,29.0,4.46,0.0,0,33.46,Cash,Flash Cab,41.56419866082087,-87.89549616933783,41.74695717071862,-87.35851764637577
trip_000035,taxi_9346,2021-06-12T21:00:00,2021-06-12T21:10:10.424095,610,3.6,52,69,14.83,2.32,6.5,0,23.65,Mobile,Yellow Cab,41.61920505111086,-87.27367951118222,41.65714068970348,-87.27997254739076
trip_000036,taxi_8119,2021-06-12T07:00:00,2021-06-12T07:44:25.613966,2665,4.5,45,41,28.82,4.65,0.0,0,33.47,Credit Card,Chicago Taxi,42.14054150958996,-87.95748337277654,42.08970283974672,-87.89793698039817
trip_000037,taxi_1027,2021-06-02T21:00:00,2021-06-02T21:15:48.327985,948,0.8,67,69,10.56,1.66,0.0,5,17.22,Cash,City Service,41.808778439775,-87.29090041122295,42.10246251373083,-87.55147567204288
trip_000038,taxi_5920,2021-06-29T07:00:00,2021-06-29T07:13:14.290296,794,1.0,65,40,10.14,2.15,6.5,0,18.79,Credit Card,City Service,41.791440232234635,-87.81347583797925,41.62637267943549,-87.71364293298168
trip_000039,taxi_3851,2021-06-17T04:00:00,2021-06-17T04:19:37.743367,1177,0.5,73,39,11.25,3.29,6.5,5,26.04,Credit Card,Chicago Taxi,42.05023510158244,-87.80690004058532,41.676109610929586,-87.42139293801795
trip_000040,taxi_8618,2021-06-26T21:00:00,2021-06-26T22:16:21.357766,4581,3.8,57,57,38.52,6.85,0.0,5,50.37,Cash,Chicago Taxi,41.833911711545596,-87.3290553393374,42.02761485607607,-87.91424688304156
trip_000041,taxi_6491,2021-06-04T14:00:00,2021-06-04T14:11:42.299612,702,1.4,12,31,10.44,1.52,0.0,0,11.96,Mobile,Flash Cab,42.03393773674576,-87.93211683020338,41.577728230855655,-87.26285118177452
trip_000042,taxi_7790,2021-06-27T01:00:00,2021-06-27T01:18:58.223559,1138,1.5,74,25,13.29,2.71,0.0,0,16.0,Credit Card,Blue Ribbon,41.789791717725926,-87.93194292392697,41.962573447848314,-87.33587213903091
trip_000043,taxi_3881,2021-06-05T13:00:00,2021-06-05T13:08:07.837033,487,1.5,67,60,9.45,1.7,0.0,1,12.15,Credit Card,Chicago Taxi,41.69951896779598,-87.37133092211867,41.82387709528211,-87.40886671862219
trip_000044,taxi_6198,2021-06-29T11:00:00,2021-06-29T11:10:32.573776,632,3.3,57,65,14.45,3.47,0.0,2,19.92,Credit Card,Chicago Taxi,41.817548167246024,-87.9226736739656,42.066896945869956,-87.68994419420248
trip_000045,taxi_9540,2021-06-11T13:00:00,2021-06-11T13:10:25.599807,625,0.5,63,31,8.02,2.33,0.0,5,15.35,Mobile,Blue Ribbon,41.596490012318846,-87.82141747930949,41.71302906424931,-87.794232345265
trip_000046,taxi_3471,2021-06-24T01:00:00,2021-06-24T01:25:00.604497,1500,3.7,30,50,20.27,7.2,0.0,0,27.47,Cash,Flash Cab,41.58853731042833,-87.72392050426673,41.87556668430235,-87.71738061271748
trip_000047,taxi_1320,2021-06-09T19:00:00,2021-06-09T19:06:53.554991,413,0.5,74,49,6.79,1.72,0.0,1,9.51,Credit Card,Yellow Cab,42.11564499446046,-87.8111098781021,41.78399198883823,-87.3366867664252
trip_000048,taxi_9947,2021-06-18T21:00:00,2021-06-18T21:09:07.718528,547,1.1,29,63,8.95,1.25,6.5,2,18.7,Cash,City Service,41.81150158562799,-88.02678014404263,41.75167772621903,-87.50668649197732
trip_000049,taxi_8657,2021-06-18T06:00:00,2021-06-18T06:27:38.222081,1658,2.8,17,69,19.18,2.89,0.0,5,27.07,Credit Card,Blue Ribbon,41.90513566537675,-87.51960019453108,41.6003684772972,-87.70710978427113
trip_000050,taxi_5262,2021-06-20T16:00:00,2021-06-20T16:10:08.188976,608,0.5,49,42,7.92,1.73,0.0,0,9.65,Cash,Blue Ribbon,41.746107482928785,-87.44101623368478,41.777475729338484,-87.44839214115618
trip_000051,taxi_8705,2021-06-18T23:00:00,2021-06-18T23:28:29.055033,1709,4.1,3,70,22.42,3.75,0.0,0,26.17,Credit Card,City Service,41.68453329943185,-87.99510530363779,42.12437136166582,-88.01779348996739
trip_000052,taxi_1333,2021-06-02T07:00:00,2021-06-02T07:07:57.533296,477,0.5,20,31,7.16,1.1,0.0,0,8.26,Cash,Blue Ribbon,41.951675306771946,-87.59882433445598,41.680778724543906,-87.49042802300309
trip_000053,taxi_2876,2021-06-16T17:00:00,2021-06-16T17:56:43.428477,3403,5.0,21,40,34.26,7.69,0.0,0,41.95,Credit Card,Chicago Taxi,41.56540705529848,-87.80043420448425,41.956408372110246,-87.28346172943529
trip_000054,taxi_2245,2021-06-17T22:00:00,2021-06-17T22:26:34.515287,1594,3.1,76,32,19.55,5.56,0.0,5,30.11,Credit Card,City Service,42.06017594345328,-87.56967070814653,41.62263303904039,-87.26292451878827
trip_000055,taxi_8018,2021-06-02T18:00:00,2021-06-02T18:20:05.135292,1205,1.4,48,9,13.34,2.18,0.0,0,15.52,Credit Card,City Service,41.557591290099516,-87.71395300732654,41.844121022994244,-87.70318127893933
trip_000056,taxi_3506,2021-06-16T10:00:00,2021-06-16T10:50:30.147870,3030,5.6,56,23,33.46,8.12,0.0,5,46.58,Credit Card,City Service,41.91954741243213,-87.3143058744778,42.01478487022295,-87.6781009826924
trip_000057,taxi_5022,2021-06-26T06:00:00,2021-06-26T06:13:16.855812,796,3.9,12,36,16.73,1.85,0.0,0,18.58,Credit Card,Flash Cab,42.0002857690962,-87.59412028425734,41.9509130822673,-87.7808827040869
trip_000058,taxi_8988,2021-06-22T02:00:00,2021-06-22T02:50:28.916819,3028,5.5,28,46,33.4,6.94,0.0,0,40.34,Mobile,City Service,41.717795092822556,-87.57307599365006,42.07806440715314,-87.60536717766433
trip_000059,taxi_4954,2021-06-23T01:00:00,2021-06-23T01:25:32.772832,1532,3.0,53,63,18.96,4.7,0.0,0,23.66,Credit Card,Flash Cab,41.964365603667915,-87.53327768020725,41.84449280104715,-87.41565370549415
trip_000060,taxi_7625,2021-06-04T23:00:00,2021-06-04T23:05:11.087527,311,1.1,32,40,7.55,0.93,0.0,0,8.48,Credit Card,City Service,41.83395629325572,-87.62526245508339,41.80530228762313,-87.45325165062911
trip_000061,taxi_8434,2021-06-15T02:00:00,2021-06-15T02:05:06.089324,306,0.9,35,40,6.97,0.58,6.5,0,14.05,Mobile,Flash Cab,41.62239353085138,-87.8959325652388,41.62173284475303,-87.621308827693
trip_000062,taxi_4545,2021-06-30T10:00:00,2021-06-30T10:28:32.778344,1712,0.5,62,36,14.37,3.34,0.0,0,17.71,Credit Card,Chicago Taxi,41.90807444430738,-87.26559149562999,42.04957701799624,-87.81300282938788
trip_000063,taxi_1231,2021-06-16T09:00:00,2021-06-16T09:29:54.500747,1794,1.5,69,17,17.07,1.53,0.0,0,18.6,Mobile,Yellow Cab,42.13457695866165,-87.60731282656111,41.96845043574612,-87.94897640563327
trip_000064,taxi_5658,2021-06-21T22:00:00,2021-06-21T22:32:26.829062,1946,5.2,61,62,26.24,5.59,0.0,0,31.83,Credit Card,City Service,41.66061820223405,-88.00889862625314,42.11463815806086,-87.66781665018746
trip_000065,taxi_2213,2021-06-03T18:00:00,2021-06-03T18:26:26.175946,1586,0.9,74,7,14.55,2.79,0.0,1,18.34,Cash,Flash Cab,42.03668524576503,-87.29069948611358,41.60110854503774,-87.85144723583191
trip_000066,taxi_4697,2021-06-24T19:00:00,2021-06-24T19:14:10.099569,850,0.5,67,49,9.33,1.07,0.0,1,11.4,Credit Card,Blue Ribbon,41.72841187951043,-87.57917988902312,41.80729790168426,-87.59509642350062
trip_000067,taxi_2625,2021-06-03T13:00:00,2021-06-03T14:17:14.771287,4634,9.5,27,28,51.62,8.3,6.5,2,68.42,Mobile,Yellow Cab,41.644234256028525,-87.91094916133886,41.5950389213407,-88.04785942191769
trip_000068,taxi_8699,2021-06-20T05:00:00,2021-06-20T05:24:56.801263,1496,2.5,38,5,17.65,5.23,0.0,5,27.88,Cash,City Service,41.974173497927424,-87.48760995352504,41.82241879584423,-87.50009206394301
trip_000069,taxi_4241,2021-06-12T06:00:00,2021-06-12T06:22:12.187083,1332,0.5,55,15,12.15,2.15,0.0,5,19.3,Credit Card,Flash Cab,41.93858083404149,-87.32327084382992,42.04597869579004,-87.99287213051535
trip_000070,taxi_5728,2021-06-08T01:00:00,2021-06-08T01:30:38.114164,1838,0.9,57,16,16.05,3.51,0.0,0,19.56,Credit Card,City Service,41.96984021098543,-87.29585900740477,41.850283306270754,-87.65496382452393
trip_000071,taxi_8078,2021-06-04T10:00:00,2021-06-04T11:01:25.299777,3685,5.9,42,33,38.01,9.09,0.0,2,49.1,Credit Card,Yellow Cab,41.6873546494331,-87.51056130626228,42.066310123690364,-87.58030165463218
trip_000072,taxi_1659,2021-06-01T21:00:00,2021-06-01T22:13:01.010419,4381,5.6,23,61,41.42,2.44,0.0,5,48.86,Credit Card,Blue Ribbon,42.09964367275606,-87.9048086822215,41.901197775166715,-87.54217222443674
trip_000073,taxi_6700,2021-06-21T23:00:00,2021-06-21T23:43:05.671983,2585,2.5,53,43,23.86,3.32,0.0,0,27.18,Mobile,Yellow Cab,42.06463985664021,-87.78615706913683,41.96620420439006,-87.81942576371084
trip_000074,taxi_8451,2021-06-18T02:00:00,2021-06-18T02:21:16.484390,1276,2.5,12,41,16.26,3.43,0.0,2,21.69,Mobile,City Service,41.61955296085858,-87.43196165916817,42.068946350431126,-87.39005823738505
trip_000075,taxi_8569,2021-06-01T01:00:00,2021-06-01T01:21:52.934804,1312,2.7,53,7,16.87,1.94,0.0,5,23.81,Cash,Chicago Taxi,41.76706761549101,-87.44484547675555,41.92524524528701,-87.4420075711512
trip_000076,taxi_3146,2021-06-09T16:00:00,2021-06-09T17:37:12.683697,5832,9.8,37,57,59.41,5.26,0.0,0,64.67,Credit Card,Yellow Cab,41.567321665465,-87.54598217839676,42.02958823996468,-87.4821737399198
trip_000077,taxi_7684,2021-06-14T06:00:00,2021-06-14T06:46:58.330365,2818,6.4,12,29,34.19,9.07,0.0,2,45.26,Credit Card,Blue Ribbon,42.11823644541562,-87.531832248973,41.642382674657,-87.30387755205273
trip_000078,taxi_5479,2021-06-13T10:00:00,2021-06-13T10:29:14.745067,1754,0.5,54,62,14.61,1.53,6.5,2,24.64,Credit Card,Flash Cab,41.82407188363939,-87.93428642521152,41.66436622256876,-87.57049792106008
trip_000079,taxi_7798,2021-06-06T19:00:00,2021-06-06T19:38:08.849409,2288,4.4,44,65,26.55,5.33,0.0,0,31.88,Mobile,Yellow Cab,41.719703389969695,-87.81115532018259,41.9021626334485,-87.25087813341653
trip_000080,taxi_9824,2021-06-21T21:00:00,2021-06-21T21:53:53.539154,3233,6.4,62,45,36.56,17.85,0.0,0,54.41,Mobile,Chicago Taxi,42.007723606571986,-87.7482319566289,42.109711353429155,-87.35431865341275
trip_000081,taxi_7274,2021-06-30T18:00:00,2021-06-30T18:37:01.139919,2221,6.4,30,53,30.52,7.91,0.0,0,38.43,Credit Card,City Service,41.99682309093912,-87.48581769518,42.03684534153893,-87.74113699800722
trip_000082,taxi_9115,2021-06-29T07:00:00,2021-06-29T07:36:46.343370,2206,3.0,5,17,22.98,5.53,0.0,5,33.51,Credit Card,Chicago Taxi,41.74919682235882,-87.96970831826812,42.05702365386623,-87.97023064180642
trip_000083,taxi_3361,2021-06-20T11:00:00,2021-06-20T11:14:25.124146,865,1.8,53,20,12.28,1.37,6.5,0,20.15,Credit Card,Blue Ribbon,42.01891517476382,-87.83798177636528,41.9239556403132,-87.73201334089138
trip_000084,taxi_9742,2021-06-04T10:00:00,2021-06-04T10:05:43.924925,343,5.2,49,41,16.96,0.52,6.5,0,23.98,Credit Card,Chicago Taxi,41.57153945990262,-87.99526340225476,41.92869661011279,-87.31325672097577
trip_000085,taxi_8110,2021-06-10T16:00:00,2021-06-10T16:11:45.156792,705,0.5,13,13,8.49,1.58,0.0,5,15.07,Credit Card,Flash Cab,41.966400697675944,-87.32726075035961,41.57759458120633,-87.41308522787024
trip_000086,taxi_8056,2021-06-13T12:00:00,2021-06-13T12:05:45.676199,345,0.5,19,32,6.39,1.71,0.0,0,8.1,Credit Card,Blue Ribbon,41.88955683714956,-87.41598442089524,41.65199018944086,-87.986825319472
trip_000087,taxi_4945,2021-06-17T07:00:00,2021-06-17T07:07:43.066850,463,3.9,64,75,14.71,2.8,6.5,2,26.01,Cash,Flash Cab,41.826689948013,-87.84681812846917,41.7031960248955,-88.04248205483611
trip_000088,taxi_9955,2021-06-20T20:00:00,2021-06-20T20:09:51.741604,591,0.5,21,10,7.83,1.54,6.5,0,15.87,Credit Card,City Service,42.14259101713108,-87.81067660070099,42.127217443694065,-87.4977491900319
trip_000089,taxi_7302,2021-06-20T11:00:00,2021-06-20T11:06:03.678115,363,5.4,62,14,17.49,5.73,0.0,0,23.22,Cash,Blue Ribbon,41.89315361541045,-87.59015045585708,42.14561522617614,-87.81381539689339
trip_000090,taxi_1132,2021-06-29T02:00:00,2021-06-29T02:25:17.444938,1517,0.5,73,7,13.23,2.58,0.0,1,16.81,Credit Card,Blue Ribbon,42.04970333980391,-87.32765206524019,42.01544458776203,-87.86590528722367
trip_000091,taxi_4115,2021-06-16T00:00:00,2021-06-16T00:36:42.784776,2202,2.8,33,18,22.36,1.04,6.5,0,29.9,Credit Card,Yellow Cab,41.735359730371584,-87.69734144786976,41.897744283221044,-87.46411218564862
trip_000092,taxi_7807,2021-06-04T20:00:00,2021-06-04T20:06:38.046202,398,1.7,23,26,9.34,2.33,0.0,0,11.67,Cash,Chicago Taxi,42.07587635802398,-87.75731397550791,41.851076857358905,-87.83197811943012
trip_000093,taxi_5835,2021-06-08T00:00:00,2021-06-08T00:15:31.031573,931,0.9,44,15,10.67,1.65,0.0,0,12.32,Credit Card,Yellow Cab,41.63445420900353,-87.2767998324298,42.06608435813929,-87.4706266303396
trip_000094,taxi_2479,2021-06-17T22:00:00,2021-06-17T22:10:45.607187,645,4.6,51,2,17.38,3.69,0.0,2,23.07,Mobile,Chicago Taxi,41.6241532420581,-87.75513147310717,41.99940696212206,-87.84027087340021
trip_000095,taxi_2775,2021-06-17T06:00:00,2021-06-17T06:26:35.268420,1595,3.4,30,61,20.24,6.32,0.0,5,31.56,Credit Card,Chicago Taxi,42.08054090712891,-87.60087409420011,42.0991535452459,-87.87290623994082
trip_000096,taxi_5951,2021-06-03T16:00:00,2021-06-03T16:23:55.236566,1435,0.5,53,15,12.75,1.8,0.0,5,19.55,Cash,Yellow Cab,42.11775691972917,-87.80650833251521,41.84557477138692,-87.97224640110255
trip_000097,taxi_8432,2021-06-23T22:00:00,2021-06-23T22:13:48.016955,828,0.9,48,70,10.12,3.34,0.0,0,13.46,Credit Card,Chicago Taxi,41.99536140885919,-87.92638167807213,41.79893071646209,-87.97078269223158
trip_000098,taxi_5583,2021-06-21T21:00:00,2021-06-21T21:07:03.548302,423,0.5,5,48,6.85,0.67,0.0,2,9.52,Cash,Blue Ribbon,41.81681751586745,-87.8611098894152,41.76761162325452,-87.26525782534075
trip_000099,taxi_6876,2021-06-16T16:00:00,2021-06-16T16:08:48.233655,528,0.5,8,51,7.46,0.57,6.5,2,16.53,Mobile,Flash Cab,42.13092412556183,-87.29079136939029,42.04451464915894,-87.97666126094599
trip_000100,taxi_1349,2021-06-10T01:00:00,2021-06-10T01:24:08.066919,1448,1.5,7,43,15.15,2.89,6.5,5,29.54,Cash,Flash Cab,42.022186859985794,-87.8858355398857,42.04789070233028,-87.60663376923111
trip_000101,taxi_6383,2021-06-26T00:00:00,2021-06-26T00:14:23.260806,863,1.6,19,77,11.79,4.34,0.0,0,16.13,Credit Card,City Service,42.06504367582811,-87.9342496157436,41.62799527886607,-87.8494766426175
trip_000102,taxi_1422,2021-06-08T10:00:00,2021-06-08T10:43:49.619344,2629,2.4,17,2,24.03,5.21,6.5,0,35.74,Mobile,Flash Cab,41.90331175323027,-88.03737513319108,41.70922050499499,-87.94859316502978
trip_000103,taxi_2041,2021-06-18T23:00:00,2021-06-18T23:06:27.818924,387,0.5,61,58,6.64,1.23,0.0,2,9.87,Mobile,Chicago Taxi,41.90619961072082,-87.688395664073,41.68292985385097,-87.55791453097245
trip_000104,taxi_8504,2021-06-29T02:00:00,2021-06-29T02:22:37.616853,1357,2.5,4,8,16.77,3.91,0.0,2,22.68,Credit Card,Blue Ribbon,41.80576417156799,-87.96363053625663,41.97744078893826,-87.6951501365096
trip_000105,taxi_3430,2021-06-04T10:00:00,2021-06-04T10:14:49.560831,889,0.5,9,17,9.56,3.34,0.0,0,12.9,Mobile,Chicago Taxi,41.92984603458061,-87.61131485276131,41.745111265991206,-87.25429779531126
trip_000106,taxi_9282,2021-06-23T15:00:00,2021-06-23T15:20:46.577233,1246,1.8,56,13,14.51,3.29,0.0,0,17.8,Credit Card,Chicago Taxi,41.98250394999456,-87.877981546938,41.82093294957917,-87.86720514050833
trip_000107,taxi_7815,2021-06-15T11:00:00,2021-06-15T12:09:58.910234,4198,6.0,13,41,41.3,8.12,0.0,1,50.42,Credit Card,City Service,41.94906471783619,-87.75055918125157,41.64158335486123,-87.3116119714125
trip_000108,taxi_2527,2021-06-03T20:00:00,2021-06-03T20:12:40.988626,760,0.5,56,13,8.81,2.18,0.0,0,10.99,Mobile,Flash Cab,41.88382244136921,-87.58082793380842,41.88695184839524,-87.78628321486704
trip_000109,taxi_7929,2021-06-06T05:00:00,2021-06-06T05:07:30.900144,450,2.7,7,37,11.86,3.51,0.0,1,16.37,Credit Card,City Service,41.76098771141589,-87.58766518528812,41.67764328340321,-87.52461095760948
trip_000110,taxi_7022,2021-06-10T13:00:00,2021-06-10T13:46:59.298977,2819,6.3,15,36,33.93,7.82,0.0,0,41.75,Credit Card,Flash Cab,42.03433282269141,-87.37387587093733,42.13472796127542,-87.39525851236748
trip_000111,taxi_1430,2021-06-27T04:00:00,2021-06-27T04:11:37.600635,697,2.3,35,4,12.42,1.53,6.5,5,25.45,Cash,City Service,41.97161926371936,-87.80281224893608,41.753894794066355,-88.04511536847708
trip_000112,taxi_7566,2021-06-07T02:00:00,2021-06-07T02:37:53.051020,2273,3.7,9,19,24.94,4.72,6.5,2,38.16,Credit Card,Yellow Cab,41.99766705720342,-87.8778936959732,41.801899496258706,-87.77728321458454
trip_000113,taxi_6314,2021-06-16T18:00:00,2021-06-16T18:14:18.292694,858,0.5,73,77,9.38,2.56,6.5,0,18.44,Credit Card,Yellow Cab,41.643347942042695,-87.44645129670002,41.57985749545978,-87.98473477797448
trip_000114,taxi_8957,2021-06-19T21:00:00,2021-06-19T21:58:24.165509,3504,5.4,57,54,35.85,9.6,0.0,5,50.45,Mobile,Flash Cab,42.002965886201025,-87.95894599351185,41.807948180038736,-87.82340282393565
trip_000115,taxi_9633,2021-06-29T22:00:00,2021-06-29T22:32:47.741660,1967,2.5,40,6,20.27,4.07,0.0,2,26.34,Cash,Blue Ribbon,42.140667394992676,-88.00617443318554,41.67265387461224,-87.29374073021869
trip_000116,taxi_6375,2021-06-06T20:00:00,2021-06-06T20:51:34.134817,3094,7.8,16,1,38.78,7.05,0.0,0,45.83,Credit Card,Blue Ribbon,41.655416881125504,-87.74583404342782,41.9722027580296,-87.64979012275504
trip_000117,taxi_7505,2021-06-29T12:00:00,2021-06-29T12:12:42.882511,762,0.8,6,56,9.48,2.35,0.0,0,11.83,Credit Card,Blue Ribbon,42.10269746070145,-87.36031198911036,41.8954554964421,-87.59128025529134
